GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1982565919	2024-03-16 21:11:45.399634	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				4					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-13	07:16:00	obsr493998	S165096187	Traveling	P22	EBIRD	246	22.190		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1979819357	2024-06-21 03:27:50.06174	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-14	14:01:00	obsr913920	S164774593	Traveling	P22	EBIRD	192	18.310		12	1	G11899570	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1987367457	2024-06-21 03:29:24.206032	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG					Bamun Gaon Road, Golaghat IN-AS 26.66239, 93.56563	L29964284	P	26.6623900	93.5656330	2024-03-19	07:18:00	obsr1396094	S165476019	Traveling	P22	EBIRD	261	8.047		3	1	G11930860	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1978733195	2024-03-13 02:54:21.936404	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				12					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2024-03-13	06:19:00	obsr982093	S164591188	Traveling	P22	EBIRD	240	3.890		1	1		0	1	0			Photographed soaring in the sky	
URN:CornellLabOfOrnithology:EBIRD:OBS1982821370	2024-04-28 13:52:52.096221	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-17	14:08:00	obsr617647	S165117306	Traveling	P22	EBIRD	50	5.000		3	1		0	1	0			Nesting	
URN:CornellLabOfOrnithology:EBIRD:OBS2020243602	2024-05-15 04:51:44.330737	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2	ON	C4	ON		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-31	07:36:00	obsr493998	S166906518	Traveling	P22	EBIRD	159	8.170		8	1	G12000105	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1977055284	2024-03-22 08:17:44.208648	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				3	NY	C4	NY		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-11	07:30:00	obsr4548006	S164405009	Traveling	P22	EBIRD	230	24.000		5	1	G11882835	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2261899315	2024-06-21 21:14:30.484552	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-07	07:57:00	obsr1930571	S182961303	Traveling	P22	EBIRD	212	14.997		3	1	G11855724	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1975872381	2024-04-28 13:47:42.435913	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				3					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-10	07:58:00	obsr485649	S164276919	Traveling	P22	EBIRD	214	18.610		7	1	G11874975	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2006822276	2024-03-28 14:06:18.221052	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--General Area	L976256	H	26.6437764	93.3982086	2024-03-04		obsr1074997	S166259259	Incidental	P20	EBIRD				4	0		1	1	0				
