GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1639173225	2023-10-23 12:03:50.612911	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				4					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Ranthambore Fort	L6049052	H	26.0200000	76.4530556	2023-02-22	14:23:00	obsr232373	S129349535	Traveling	P22	EBIRD	183	23.000		7	1	G9714937	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1621815318	2023-02-03 08:10:32.987239	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-03	16:44:00	obsr2057196	S127502588	Traveling	P22	EBIRD	55	5.868		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1626622488	2024-07-05 03:57:37.921927	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L6000962	H	25.9644883	76.3903856	2023-02-09	14:51:00	obsr3077415	S127928025	Traveling	P22	EBIRD	180	4.210		1	0		0	1	0			Group of 6-7 vultures in a field in Ranthambhour N'tl Park	
URN:CornellLabOfOrnithology:EBIRD:OBS1622454720	2023-02-04 03:06:30.157891	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-03	15:14:00	obsr3561942	S127559326	Traveling	P22	EBIRD	158	17.436		26	1	G9601871	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1644711817	2023-10-23 12:06:50.746522	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambhore NP--Zone 3	L2529173	H	26.0298695	76.4723539	2023-02-28	14:44:00	obsr851631	S129886788	Traveling	P22	EBIRD	140	14.280		3	1	G9815486	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1626026252	2023-05-29 11:59:01.121445	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				5					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-08	14:49:00	obsr111130	S127877268	Traveling	P22	EBIRD	133	6.598		6	1	G9629110	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1636720939	2023-02-20 01:09:27.41618	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L5607850	H	25.9795580	76.3762240	2023-02-20	06:52:00	obsr1411569	S129068154	Traveling	P22	EBIRD	157	24.155		4	1	G9697806	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1663684968	2024-04-28 08:05:06.348891	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambhore NP--Zone 3	L2529173	H	26.0298695	76.4723539	2023-03-24	16:09:00	obsr983874	S131663406	Traveling	P22	EBIRD	103	7.940		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1664409100	2023-03-25 03:11:31.259397	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--entry road & fort	L922057	H	26.0346897	76.4381504	2023-03-25	01:02:00	obsr1496704	S131732177	Traveling	P22	EBIRD	55	7.403		5	1	G9875637	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1668437536	2024-07-07 11:13:09.820489	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				8					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP	L946220	H	26.0129781	76.5032959	2023-03-10	11:15:00	obsr1321652	S132111040	Banding	P33	EBIRD	360			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1664402047	2023-03-25 02:49:35.567071	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--entry road & fort	L922057	H	26.0346897	76.4381504	2023-03-25	01:02:00	obsr516253	S131731731	Traveling	P22	EBIRD	55	7.403		5	1	G9875637	0	1	0		Drive up to fort and back.		
URN:CornellLabOfOrnithology:EBIRD:OBS1664402028	2023-03-25 02:49:35.567071	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--entry road & fort	L922057	H	26.0346897	76.4381504	2023-03-25	01:02:00	obsr205216	S131731730	Traveling	P22	EBIRD	55	7.403		5	1	G9875637	0	1	0		Drive up to fort and back.		
URN:CornellLabOfOrnithology:EBIRD:OBS1697913217	2023-04-25 11:18:38.051512	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--entry road & fort	L922057	H	26.0346897	76.4381504	2023-03-25	01:02:00	obsr292606	S134966405	Traveling	P22	EBIRD	55	7.403		5	1	G9875637	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1662828857	2024-04-28 08:01:59.53995	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambhore NP--Zone 3	L2529173	H	26.0298695	76.4723539	2023-03-23	08:00:00	obsr983874	S131581653	Traveling	P22	EBIRD	77	2.720		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1664368227	2024-07-07 11:07:54.016149	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 1	L2529666	H	26.0057271	76.4269924	2023-03-25	09:12:00	obsr983874	S131729338	Traveling	P22	EBIRD	39	5.560		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1650002055	2023-03-07 09:45:56.732992	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				4	F 	C1	F 		India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Ranthambore Fort	L6049052	H	26.0200000	76.4530556	2023-03-07	10:30:00	obsr1483350	S130381171	Stationary	P21	EBIRD	90			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1668993647	2023-05-26 04:48:53.39357	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				12					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Sawai Mansingh Wildlife Sanctuary	L14656324	H	25.9198720	76.3472860	2023-03-23	05:03:00	obsr516253	S132165663	Traveling	P22	EBIRD	196	22.450		5	1	G9903244	0	1	1		Ranthampore Zone 8, 2:40 to 5:30 pm	Pale above and below, dark trailing edge to wings tip of rounded tail also dark. Started with 2 circling, eventually 12 were riding winds above and along cliffs.	
URN:CornellLabOfOrnithology:EBIRD:OBS1663050506	2023-05-26 04:48:53.39357	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				13					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP—Zone 8	L23181674	P	25.9451130	76.3519050	2023-03-23	14:46:00	obsr523464	S131602828	Traveling	P22	EBIRD	180	7.529		10	1	G9867984	0	1	1		Cheepers! Birding Tour facilitated by Kipling India Travels	Exact count	
